2021-05-24 16:43:40.919 -INFO 8060 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 8060 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-24 16:43:40.921 -INFO 8060 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-24 16:43:42.768 -INFO 8060 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 2.096 seconds (JVM running for 2.858)
2021-05-24 16:46:04.132 -INFO 8097 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 8097 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-24 16:46:04.133 -INFO 8097 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-24 16:46:06.249 -INFO 8097 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 2.363 seconds (JVM running for 3.114)
2021-05-24 20:53:52.374 -INFO 8479 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 8479 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-24 20:53:52.376 -INFO 8479 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-24 20:53:54.199 -INFO 8479 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 2.06 seconds (JVM running for 2.722)
2021-05-24 20:54:40.108 -INFO 8493 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 8493 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-24 20:54:40.109 -INFO 8493 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-24 20:54:41.548 -INFO 8493 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 1.667 seconds (JVM running for 2.129)
2021-05-24 21:03:11.108 -INFO 8523 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 8523 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-24 21:03:11.109 -INFO 8523 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-24 21:03:12.751 -INFO 8523 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 1.852 seconds (JVM running for 2.531)
