2021-05-22 17:08:12.194 -INFO 5931 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 5931 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-22 17:08:12.207 -INFO 5931 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-22 17:08:14.199 -INFO 5931 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 2.347 seconds (JVM running for 3.208)
2021-05-22 17:12:52.061 -INFO 5957 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 5957 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-22 17:12:52.063 -INFO 5957 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-22 17:12:53.849 -INFO 5957 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 2.038 seconds (JVM running for 2.737)
2021-05-22 17:16:04.601 -INFO 5974 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 5974 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-22 17:16:04.602 -INFO 5974 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-22 17:16:05.962 -INFO 5974 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 1.559 seconds (JVM running for 2.194)
2021-05-22 17:16:35.922 -INFO 5979 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 5979 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-22 17:16:35.923 -INFO 5979 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-22 17:16:37.655 -INFO 5979 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 1.997 seconds (JVM running for 2.531)
2021-05-22 17:18:28.413 -INFO 6002 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 6002 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-22 17:18:28.414 -INFO 6002 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-22 17:18:29.932 -INFO 6002 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 1.759 seconds (JVM running for 2.43)
2021-05-22 19:52:28.509 -INFO 6149 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 6149 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-22 19:52:28.510 -INFO 6149 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-22 19:52:30.224 -INFO 6149 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 1.937 seconds (JVM running for 2.442)
